Company Name, Fund 
OXFORD INSTRUMENTS,BlackRock Growth & Recovery Accumulation Fund Analysis
SPIRENT COMMUNICATIONS,BlackRock Growth & Recovery Accumulation Fund Analysis
ERGOMED,BlackRock Growth & Recovery Accumulation Fund Analysis
QINETIQ GROUP,BlackRock Growth & Recovery Accumulation Fund Analysis
TEAM17 GROUP,BlackRock Growth & Recovery Accumulation Fund Analysis
BlackRock Institutional Cash Series ICS US Dollar Liquid Environmentally Aware Agency,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
4IMPRINT GROUP,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
CVS GROUP,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
GAMMA COMMUNICATIONS,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
ERGOMED,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
QINETIQ GROUP,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
SPIRENT COMMUNICATIONS,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
BLOOMSBURY PUBLISHING,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
TATTON ASSET MGMT,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
TRACSIS,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
Gresham House Gresham House Plc Ord GBP0.25,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
GYM GROUP,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
ECKOH,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
MACFARLANE GROUP,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
CML MICROSYSTEMS,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
OXFORD METRICS,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
PORVAIR,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
EKF DIAGNOSTICS HOLDINGS,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
CALNEX SOLUTIONS,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
TELECOM PLUS,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
ENERGEAN,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
NEXT FIFTEEN COMMUNICATIONS GROUP,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
4IMPRINT GROUP,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
OSB GROUP,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
BIFFA,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
REDDE NORTHGATE,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
MORGAN ADVANCED MATERIALS,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
CLS HLDGS,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
RATHBONES GROUP,CT UK Smaller Companies (Class 2) Accumulation Fund Analysis
ALPHA FINL MKTS CONSULTING,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
SERCO GROUP,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
ALPHA FX GROUP,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
DIVERSIFIED ENERGY CO,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
GAMMA COMMUNICATIONS,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
SPIRENT COMMUNICATIONS,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
CONDUIT HOLDINGS LIMITED,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
INDIVIOR,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
OSB GROUP,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
SERICA ENERGY,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
